problem_id,dataset,model,n_steps,duration,event,first_error_step,n_errors,final_correct,error_vector
gsm8k_35,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_36,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_37,gsm8k,llama3.2_3b,7,2,1,1.0,4,False,"[0, 1, 1, 1, 1, 0, 0]"
gsm8k_38,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_39,gsm8k,llama3.2_3b,6,2,1,1.0,5,False,"[0, 1, 1, 1, 1, 1]"
gsm8k_41,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_42,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_43,gsm8k,llama3.2_3b,5,2,1,1.0,2,False,"[0, 1, 1, 0, 0]"
gsm8k_44,gsm8k,llama3.2_3b,4,3,1,2.0,1,False,"[0, 0, 1, 0]"
gsm8k_45,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_46,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_47,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_48,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_49,gsm8k,llama3.2_3b,4,2,1,1.0,3,False,"[0, 1, 1, 1]"
gsm8k_50,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_52,gsm8k,llama3.2_3b,6,1,1,0.0,1,True,"[1, 0, 0, 0, 0, 0]"
gsm8k_53,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_54,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_55,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_57,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_58,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_59,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_60,gsm8k,llama3.2_3b,6,4,1,3.0,3,True,"[0, 0, 0, 1, 1, 1]"
gsm8k_61,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_62,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_63,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_64,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_65,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_66,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_67,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_68,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_69,gsm8k,llama3.2_3b,4,4,1,3.0,1,False,"[0, 0, 0, 1]"
gsm8k_70,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_71,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_72,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_73,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_74,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_75,gsm8k,llama3.2_3b,6,2,1,1.0,5,False,"[0, 1, 1, 1, 1, 1]"
gsm8k_76,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_77,gsm8k,llama3.2_3b,4,3,1,2.0,1,False,"[0, 0, 1, 0]"
gsm8k_78,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_80,gsm8k,llama3.2_3b,5,2,1,1.0,1,True,"[0, 1, 0, 0, 0]"
gsm8k_81,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_82,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_83,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_84,gsm8k,llama3.2_3b,13,13,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_85,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_86,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_87,gsm8k,llama3.2_3b,6,2,1,1.0,3,False,"[0, 1, 1, 1, 0, 0]"
gsm8k_88,gsm8k,llama3.2_3b,16,16,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_89,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_90,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_91,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_92,gsm8k,llama3.2_3b,5,4,1,3.0,1,False,"[0, 0, 0, 1, 0]"
gsm8k_93,gsm8k,llama3.2_3b,7,3,1,2.0,1,False,"[0, 0, 1, 0, 0, 0, 0]"
gsm8k_94,gsm8k,llama3.2_3b,5,2,1,1.0,3,False,"[0, 1, 1, 1, 0]"
gsm8k_95,gsm8k,llama3.2_3b,5,2,1,1.0,4,False,"[0, 1, 1, 1, 1]"
gsm8k_97,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_98,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_99,gsm8k,llama3.2_3b,4,4,1,3.0,1,False,"[0, 0, 0, 1]"
gsm8k_100,gsm8k,llama3.2_3b,5,2,1,1.0,3,False,"[0, 1, 0, 1, 1]"
gsm8k_101,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_102,gsm8k,llama3.2_3b,4,2,1,1.0,3,False,"[0, 1, 1, 1]"
gsm8k_103,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_104,gsm8k,llama3.2_3b,5,4,1,3.0,1,True,"[0, 0, 0, 1, 0]"
gsm8k_106,gsm8k,llama3.2_3b,6,5,1,4.0,1,True,"[0, 0, 0, 0, 1, 0]"
gsm8k_107,gsm8k,llama3.2_3b,8,2,1,1.0,2,False,"[0, 1, 1, 0, 0, 0, 0, 0]"
gsm8k_108,gsm8k,llama3.2_3b,9,6,1,5.0,1,True,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
gsm8k_109,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_110,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_111,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_112,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_115,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_116,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_117,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_118,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_119,gsm8k,llama3.2_3b,6,2,1,1.0,1,False,"[0, 1, 0, 0, 0, 0]"
gsm8k_120,gsm8k,llama3.2_3b,5,5,1,4.0,1,False,"[0, 0, 0, 0, 1]"
gsm8k_121,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_122,gsm8k,llama3.2_3b,7,4,1,3.0,4,False,"[0, 0, 0, 1, 1, 1, 1]"
gsm8k_123,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_125,gsm8k,llama3.2_3b,9,9,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_128,gsm8k,llama3.2_3b,8,2,1,1.0,6,False,"[0, 1, 1, 1, 1, 1, 1, 0]"
gsm8k_129,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_130,gsm8k,llama3.2_3b,5,5,1,4.0,1,False,"[0, 0, 0, 0, 1]"
gsm8k_132,gsm8k,llama3.2_3b,15,2,1,1.0,4,False,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_133,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_135,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_136,gsm8k,llama3.2_3b,4,3,1,2.0,1,True,"[0, 0, 1, 0]"
gsm8k_137,gsm8k,llama3.2_3b,7,2,1,1.0,3,False,"[0, 1, 0, 1, 1, 0, 0]"
gsm8k_138,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_139,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_141,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_142,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_143,gsm8k,llama3.2_3b,6,2,1,1.0,1,False,"[0, 1, 0, 0, 0, 0]"
gsm8k_144,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_145,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_146,gsm8k,llama3.2_3b,4,3,1,2.0,1,True,"[0, 0, 1, 0]"
gsm8k_147,gsm8k,llama3.2_3b,24,2,1,1.0,4,False,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_148,gsm8k,llama3.2_3b,8,6,1,5.0,1,False,"[0, 0, 0, 0, 0, 1, 0, 0]"
gsm8k_150,gsm8k,llama3.2_3b,7,2,1,1.0,5,False,"[0, 1, 1, 1, 1, 1, 0]"
gsm8k_151,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_152,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_153,gsm8k,llama3.2_3b,7,3,1,2.0,4,False,"[0, 0, 1, 1, 1, 1, 0]"
gsm8k_154,gsm8k,llama3.2_3b,5,4,1,3.0,2,False,"[0, 0, 0, 1, 1]"
gsm8k_155,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_156,gsm8k,llama3.2_3b,5,2,1,1.0,1,False,"[0, 1, 0, 0, 0]"
gsm8k_157,gsm8k,llama3.2_3b,13,4,1,3.0,1,False,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_158,gsm8k,llama3.2_3b,5,5,1,4.0,1,True,"[0, 0, 0, 0, 1]"
gsm8k_159,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_161,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_162,gsm8k,llama3.2_3b,17,2,1,1.0,4,False,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_163,gsm8k,llama3.2_3b,8,3,1,2.0,2,False,"[0, 0, 1, 1, 0, 0, 0, 0]"
gsm8k_164,gsm8k,llama3.2_3b,4,3,1,2.0,1,False,"[0, 0, 1, 0]"
gsm8k_166,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_167,gsm8k,llama3.2_3b,11,11,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_169,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_170,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_171,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_172,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_173,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_174,gsm8k,llama3.2_3b,5,5,1,4.0,1,False,"[0, 0, 0, 0, 1]"
gsm8k_175,gsm8k,llama3.2_3b,9,3,1,2.0,3,False,"[0, 0, 1, 0, 1, 1, 0, 0, 0]"
gsm8k_176,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_177,gsm8k,llama3.2_3b,9,4,1,3.0,4,False,"[0, 0, 0, 1, 1, 1, 1, 0, 0]"
gsm8k_178,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_179,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_182,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_183,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_184,gsm8k,llama3.2_3b,4,4,1,3.0,1,False,"[0, 0, 0, 1]"
gsm8k_185,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_186,gsm8k,llama3.2_3b,14,14,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_187,gsm8k,llama3.2_3b,8,3,1,2.0,2,False,"[0, 0, 1, 1, 0, 0, 0, 0]"
gsm8k_188,gsm8k,llama3.2_3b,16,16,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_189,gsm8k,llama3.2_3b,5,2,1,1.0,2,False,"[0, 1, 0, 1, 0]"
gsm8k_192,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_193,gsm8k,llama3.2_3b,5,2,1,1.0,4,False,"[0, 1, 1, 1, 1]"
gsm8k_197,gsm8k,llama3.2_3b,4,2,1,1.0,1,False,"[0, 1, 0, 0]"
gsm8k_198,gsm8k,llama3.2_3b,6,2,1,1.0,5,False,"[0, 1, 1, 1, 1, 1]"
gsm8k_199,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_201,gsm8k,llama3.2_3b,5,2,1,1.0,4,False,"[0, 1, 1, 1, 1]"
gsm8k_203,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_204,gsm8k,llama3.2_3b,6,6,1,5.0,1,False,"[0, 0, 0, 0, 0, 1]"
gsm8k_205,gsm8k,llama3.2_3b,8,2,1,1.0,3,False,"[0, 1, 1, 1, 0, 0, 0, 0]"
gsm8k_206,gsm8k,llama3.2_3b,7,6,1,5.0,1,False,"[0, 0, 0, 0, 0, 1, 0]"
gsm8k_207,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_208,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_209,gsm8k,llama3.2_3b,5,4,1,3.0,1,False,"[0, 0, 0, 1, 0]"
gsm8k_210,gsm8k,llama3.2_3b,6,4,1,3.0,3,False,"[0, 0, 0, 1, 1, 1]"
gsm8k_211,gsm8k,llama3.2_3b,16,16,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_213,gsm8k,llama3.2_3b,13,5,1,4.0,2,False,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
gsm8k_214,gsm8k,llama3.2_3b,11,3,1,2.0,2,False,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
gsm8k_215,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_216,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_218,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_219,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_220,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_221,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_222,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_224,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_225,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_226,gsm8k,llama3.2_3b,6,2,1,1.0,2,False,"[0, 1, 0, 1, 0, 0]"
gsm8k_227,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_228,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_229,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_230,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_231,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_233,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_234,gsm8k,llama3.2_3b,6,2,1,1.0,2,False,"[0, 1, 1, 0, 0, 0]"
gsm8k_235,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_236,gsm8k,llama3.2_3b,17,3,1,2.0,2,False,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_237,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_238,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_239,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_240,gsm8k,llama3.2_3b,4,4,1,3.0,1,False,"[0, 0, 0, 1]"
gsm8k_242,gsm8k,llama3.2_3b,7,7,0,,0,True,"[0, 0, 0, 0, 0, 0, 0]"
gsm8k_243,gsm8k,llama3.2_3b,4,2,1,1.0,2,False,"[0, 1, 1, 0]"
gsm8k_244,gsm8k,llama3.2_3b,8,4,1,3.0,2,True,"[0, 0, 0, 1, 1, 0, 0, 0]"
gsm8k_245,gsm8k,llama3.2_3b,5,2,1,1.0,3,False,"[0, 1, 1, 1, 0]"
gsm8k_246,gsm8k,llama3.2_3b,6,2,1,1.0,5,False,"[0, 1, 1, 1, 1, 1]"
gsm8k_247,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_248,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_249,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_250,gsm8k,llama3.2_3b,5,3,1,2.0,2,False,"[0, 0, 1, 1, 0]"
gsm8k_251,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_252,gsm8k,llama3.2_3b,5,4,1,3.0,2,False,"[0, 0, 0, 1, 1]"
gsm8k_254,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_255,gsm8k,llama3.2_3b,5,2,1,1.0,4,False,"[0, 1, 1, 1, 1]"
gsm8k_256,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_257,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_259,gsm8k,llama3.2_3b,5,2,1,1.0,4,False,"[0, 1, 1, 1, 1]"
gsm8k_260,gsm8k,llama3.2_3b,4,2,1,1.0,2,True,"[0, 1, 1, 0]"
gsm8k_262,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_263,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_264,gsm8k,llama3.2_3b,5,4,1,3.0,1,True,"[0, 0, 0, 1, 0]"
gsm8k_265,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_266,gsm8k,llama3.2_3b,5,5,1,4.0,1,False,"[0, 0, 0, 0, 1]"
gsm8k_267,gsm8k,llama3.2_3b,4,3,1,2.0,2,False,"[0, 0, 1, 1]"
gsm8k_268,gsm8k,llama3.2_3b,4,3,1,2.0,2,False,"[0, 0, 1, 1]"
gsm8k_269,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_270,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_271,gsm8k,llama3.2_3b,6,3,1,2.0,3,False,"[0, 0, 1, 1, 1, 0]"
gsm8k_273,gsm8k,llama3.2_3b,7,4,1,3.0,3,False,"[0, 0, 0, 1, 1, 1, 0]"
gsm8k_274,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_275,gsm8k,llama3.2_3b,6,5,1,4.0,2,False,"[0, 0, 0, 0, 1, 1]"
gsm8k_276,gsm8k,llama3.2_3b,8,8,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_277,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
gsm8k_278,gsm8k,llama3.2_3b,25,3,1,2.0,1,False,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_279,gsm8k,llama3.2_3b,18,18,0,,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gsm8k_280,gsm8k,llama3.2_3b,4,4,0,,0,True,"[0, 0, 0, 0]"
gsm8k_281,gsm8k,llama3.2_3b,6,6,0,,0,True,"[0, 0, 0, 0, 0, 0]"
gsm8k_282,gsm8k,llama3.2_3b,5,5,0,,0,True,"[0, 0, 0, 0, 0]"
